13 - PC Wise Voters Turn Out,,,,,,,,,,,,,,
,,,, VOTERS ,,,,,,,,,,
,,,, EVM ,,,,, POSTAL VOTES ,,,Voters Turn Out(Excl. Postal)%,,
 State Name , PC NO. , PC NAME , ELECTORS , MALE , FEMALE , THIRD GENDER , TOTAL , NRI ,, TOTAL VOTERS , VOTER TURN OUT (%) , MALE , FEMALE , THIRD GENDER 
Gujarat,1,Kachchh,1744321,550098,465094,3,1015195,0,8957,1024152,58.71350514,60.49679919,55.69934659,25
Gujarat,2,Banaskantha,1697384,614524,482443,3,1096970,0,6769,1103739,65.02588689,68.98454672,59.81444792,75
Gujarat,3,Patan,1807043,610449,509917,7,1120373,0,8044,1128417,62.44549798,65.03810987,58.71778632,33.33333333
Gujarat,4,Mahesana,1648869,584781,492257,9,1077047,0,7630,1084677,65.78309132,68.42953331,61.97688663,25
Gujarat,5,Sabarkantha,1801717,645239,562915,14,1208168,0,12810,1220978,67.76746848,69.69769964,64.26733311,26.41509434
Gujarat,6,Gandhinagar,1945772,689408,586038,7,1275453,0,10373,1285826,66.08307654,68.64623899,62.24950448,14.89361702
Gujarat,7,Ahmedabad East,1811851,619676,489608,12,1109296,0,9768,1119064,61.76357769,64.81878384,57.21250194,17.91044776
Gujarat,8,Ahmedabad West,1643317,544767,446929,6,991702,0,7531,999233,60.80585791,63.95014685,56.47107135,24
Gujarat,9,Surendranagar,1849429,598970,470272,9,1069251,0,10948,1080199,58.40716243,61.66823505,53.55453367,27.27272727
Gujarat,10,Rajkot,1884339,658951,530759,2,1189712,0,6588,1196300,63.48645334,67.23077378,58.70007122,11.11111111
Gujarat,11,Porbandar,1662368,533165,410171,5,943341,0,7766,951107,57.21398631,61.61000801,51.4663682,41.66666667
Gujarat,12,Jamnagar,1657166,557825,446952,5,1004782,0,6667,1011449,61.03486313,65.0222229,55.92191611,20.83333333
Gujarat,13,Junagadh,1642864,542217,454800,8,997025,0,10227,1007252,61.3107354,63.8675526,57.28847164,50
Gujarat,14,Amreli,1628451,495865,411648,6,907519,0,3924,911443,55.96993708,58.74259002,52.48617235,28.57142857
Gujarat,15,Bhavnagar,1768297,567578,464533,9,1032120,0,12122,1044242,59.05354135,61.61818046,54.8353816,25.71428571
Gujarat,16,Anand,1655870,602173,503504,30,1105707,0,4377,1110084,67.03932072,70.45315743,62.85565909,27.77777778
Gujarat,17,Kheda,1804028,612434,481581,23,1094038,0,7135,1101173,61.03968453,65.78450433,55.16480218,31.94444444
Gujarat,18,Panchmahal,1744762,577870,498261,6,1076137,0,9581,1085718,62.22728372,64.30702495,58.88663288,40
Gujarat,19,Dahod,1598939,543050,514433,3,1057486,0,6905,1064391,66.56858079,67.55722864,64.7015543,18.75
Gujarat,20,Vadodara,1794896,647847,570017,42,1217906,0,5803,1223709,68.17715344,70.22023796,65.35618056,31.57894737
Gujarat,21,Chhota Udaipur,1671253,652896,573945,1,1226842,0,8213,1235055,73.89994214,75.70581114,70.95990505,9.090909091
Gujarat,22,Bharuch,1564519,606980,538517,13,1145510,0,5148,1150658,73.54707741,75.41501367,70.89247984,31.70731707
Gujarat,23,Bardoli,1826526,706293,637358,0,1343651,0,5994,1349645,73.89136536,75.55042824,71.48129913,0
Gujarat,24,Surat,1655704,593569,472777,13,1066359,0,2894,1069253,64.57996115,66.59280792,61.85719295,22.03389831
Gujarat,25,Navsari,1971658,713388,589682,11,1303081,0,6155,1309236,66.40279399,66.26385048,65.88669868,14.28571429
Gujarat,26,Valsad,1671030,647087,609749,2,1256838,0,4526,1261364,75.48422231,75.84386937,74.55666377,14.28571429
Haryana,1,Ambala,1853711,707597,605795,2,1313394,0,4528,1317922,71.09641147,71.4250962,70.1966519,6.666666667
Haryana,2,Kurukshetra,1657335,654657,572801,4,1227462,0,3703,1231165,74.28582634,74.15680318,73.9557067,26.66666667
Haryana,3,Sirsa,1803349,730867,636499,4,1367370,0,2946,1370316,75.9872881,76.20898199,75.38670539,57.14285714
Haryana,4,Hisar,1631817,638294,536805,1,1175100,0,6778,1181878,72.42711652,72.3343253,71.63245208,14.28571429
Haryana,5,Karnal,1904193,706599,591424,3,1298026,0,3448,1301474,68.34779878,69.32695072,66.83398971,5.882352941
Haryana,6,Sonipat,1592611,610957,512815,4,1123776,0,7370,1131146,71.0246256,70.52056148,70.61301263,16
Haryana,7,Rohtak,1737133,653164,556508,2,1209674,0,15320,1224994,70.51814685,69.65552103,69.61492803,11.11111111
Haryana,8,Bhiwani-Mahendragarh,1654317,608691,538446,3,1147140,0,18766,1165906,70.47657734,68.39616652,70.44467674,20
Haryana,9,Gurgaon,2150728,775280,666146,12,1441438,0,6663,1448101,67.33073638,67.68627958,66.26452452,27.90697674
Haryana,10,Faridabad,2071816,741280,583185,2,1324467,0,3660,1328127,64.10448611,64.86308646,62.78022803,4.255319149
Himachal Pradesh,1,Kangra,1427338,470334,520805,3,991142,0,18414,1009556,70.72998827,64.66103186,74.40772987,15
Himachal Pradesh,2,Mandi,1281462,461030,469659,2,930691,0,12457,943148,73.59937322,70.8409394,74.47091227,40
Himachal Pradesh,3,Hamirpur,1362269,458194,514168,3,972365,0,19722,992087,72.8260718,66.24335136,76.6752314,42.85714286
Himachal Pradesh,4,Shimla,1259085,475787,431773,8,907568,0,7581,915149,72.68365519,72.722729,71.38844156,53.33333333
Jammu & Kashmir,1,Baramulla,1317738,250078,202036,0,452114,0,3885,455999,34.60467862,36.68866322,31.76247162,0
Jammu & Kashmir,2,Srinagar,1294671,106916,79450,0,186366,0,497,186863,14.43324211,16.01514695,12.67040054,0
Jammu & Kashmir,3,Anantnag,1397779,71575,51274,0,122849,0,2616,125465,8.976025538,9.877918178,7.617047068,0
Jammu & Kashmir,4,Ladakh,179232,62035,61258,0,123293,0,4057,127350,71.05316015,66.67490676,71.07321035,0
Jammu & Kashmir,5,Udhampur,1685816,610575,558519,1,1169095,0,13585,1182680,70.15474998,68.115111,70.75359837,2.325581395
Jammu & Kashmir,6,Jammu,2047302,758278,697010,2,1455290,0,29097,1484387,72.50454501,70.0835426,72.20537109,8.695652174
Jharkhand,1,Rajmahal,1454436,528919,516393,0,1045312,0,2541,1047853,72.04531516,71.25321126,72.51508879,0
Jharkhand,2,Dumka,1397253,518137,505399,2,1023538,0,2443,1025981,73.42843422,72.06756982,74.51119439,28.57142857
Jharkhand,3,Godda,1716766,610174,578795,0,1188969,0,5374,1194343,69.56935307,67.27817214,71.47205552,0
Jharkhand,4,Chatra,1425218,463730,458631,0,922361,0,3595,925956,64.96942924,61.75170682,68.02040771,0
Jharkhand,5,Kodarma,1814125,594662,613587,5,1208254,0,1407,1209661,66.68013505,61.91029461,71.88335811,31.25
Jharkhand,6,Giridih,1649413,576909,526778,3,1103690,0,3466,1107156,67.12424359,65.59056166,68.42756806,15.78947368
Jharkhand,7,Dhanbad,2072634,681732,567412,7,1249151,0,4114,1253265,60.4672605,60.55738247,59.92704137,20.58823529
Jharkhand,8,Ranchi,1915959,641669,589258,5,1230932,0,4682,1235614,64.49062845,63.96821473,64.55499562,9.433962264
Jharkhand,9,Jamshedpur,1703279,590506,552796,15,1143317,0,1110,1144427,67.18963834,67.64736207,66.5774625,26.78571429
Jharkhand,10,Singhbhum,1269917,441917,436562,1,878480,0,1036,879516,69.25775464,69.40545108,68.946228,14.28571429
Jharkhand,11,Khunti,1202664,410870,419556,0,830426,0,2408,832834,69.24910033,68.02123066,70.08602977,0
Jharkhand,12,Lohardaga,1234286,404489,409371,0,813860,0,4507,818367,66.3028666,63.94122622,68.0375413,0
Jharkhand,13,Palamau,1881441,626122,579847,0,1205969,0,4457,1210426,64.33504957,61.63176193,66.99305515,0
Jharkhand,14,Hazaribagh,1667465,552495,526659,1,1079155,0,2227,1081382,64.85185596,62.26944599,67.50411439,8.333333333
Karnataka,1,Chikkodi,1612556,632366,579970,9,1212345,0,7138,1219483,75.62422638,76.64754415,73.64997689,15.78947368
Karnataka,2,Belgaum,1779350,625609,573504,4,1199117,0,8025,1207142,67.84173996,69.69183862,65.05145097,7.272727273
Karnataka,3,Bagalkot,1704010,619749,580993,14,1200756,0,3946,1204702,70.69805928,72.58909528,68.34078112,15.2173913
Karnataka,4,Bijapur,1797587,588408,520348,25,1108781,0,3712,1112493,61.88813114,63.75704173,59.50731165,9.293680297
Karnataka,5,Gulbarga,1945765,610885,574754,6,1185645,0,4826,1190471,61.18267108,62.29909603,59.56888904,1.759530792
Karnataka,6,Raichur,1928204,575578,546569,5,1122152,0,2810,1124962,58.34247829,60.21080865,56.23722218,1.36239782
Karnataka,7,Bidar,1775095,577170,536980,2,1114152,0,4103,1118255,62.99691002,62.75305845,62.78676027,1.941747573
Karnataka,8,Koppal,1736693,606297,581406,7,1187710,0,2917,1190627,68.55713704,70.25246053,66.55638919,6.194690265
Karnataka,9,Bellary,1751734,621814,597246,17,1219077,0,2908,1221985,69.75859349,71.36435053,67.8550613,7.327586207
Karnataka,10,Haveri,1708510,661429,601867,0,1263296,0,4592,1267888,74.21015973,75.77999331,72.0280373,0
Karnataka,11,Dharwad,1727311,640913,569597,8,1210518,0,3620,1214138,70.29064251,73.04717596,67.02647301,7.547169811
Karnataka,12,Uttara Kannada,1556599,591099,559157,5,1150261,0,4129,1154390,74.16103955,74.77514288,72.98985086,22.72727273
Karnataka,13,Davanagere,1633064,617489,574795,9,1192293,0,2932,1195225,73.18910955,75.01217831,70.9842544,6.976744186
Karnataka,14,Shimoga,1676668,641691,640582,6,1282279,0,1788,1284067,76.58445202,77.1380968,75.83140474,12
Karnataka,15,Udupi Chikmagalur,1513806,563341,585785,5,1149131,11,2492,1151623,76.07467535,76.22347155,75.61570028,9.259259259
Karnataka,16,Hassan,1652999,644500,629935,3,1274438,0,4215,1278653,77.35352532,77.29282046,76.90462354,6.666666667
Karnataka,17,Dakshina Kannada,1724976,653563,689629,21,1343213,5,2134,1345347,77.99221554,77.27285625,78.44823271,20.58823529
Karnataka,18,Chitradurga,1760633,639390,603639,6,1243035,0,3471,1246506,70.79874113,71.86272813,69.32068737,5.825242718
Karnataka,19,Tumkur,1608545,630450,611065,13,1241528,0,3941,1245469,77.428297,78.45984976,75.91878672,10.83333333
Karnataka,20,Mandya,1712004,695384,680954,28,1376366,0,3256,1379622,80.58520891,81.27898713,79.52236645,19.04761905
Karnataka,21,Mysore,1896333,664932,647532,14,1312478,0,5625,1318103,69.50799253,70.25485574,68.18092797,9.333333333
Karnataka,22,Chamarajanagar,1686333,646902,620802,11,1267715,0,3010,1270725,75.35433393,76.73352707,73.6272325,9.649122807
Karnataka,23,Bangalore Rural,2497458,831105,789254,39,1620398,0,2426,1622824,64.97903068,64.53560424,65.26573791,11.43695015
Karnataka,24,Bangalore North,2849250,805444,750147,103,1555694,0,4630,1560324,54.76262174,54.34892479,54.88477553,20.76612903
Karnataka,25,Bangalore central,2204817,621875,572763,67,1194705,0,2982,1197687,54.32137905,54.25664363,54.12375372,16.87657431
Karnataka,26,Bangalore South,2215489,616311,568793,33,1185137,0,4520,1189657,53.69726503,53.42779618,53.57859091,9.593023256
Karnataka,27,Chikkballapur,1808780,706576,678457,36,1385069,0,2918,1387987,76.73608731,77.57444809,75.57674784,15.12605042
Karnataka,28,Kolar,1629961,642572,613779,20,1256371,0,2722,1259093,77.24681756,78.58938985,75.57263187,12.65822785
Kerala,1,Kasaragod,1363937,507542,588600,1,1096143,204,3956,1100099,80.65614468,76.96397323,83.55086936,50
Kerala,2,Kannur,1266550,484899,563025,1,1047925,186,6821,1054746,83.27709131,80.60558206,84.66859656,20
Kerala,3,Vadakara,1288926,485642,575195,1,1060838,21477,5094,1065932,82.69923952,78.37789857,85.94081507,5.555555556
Kerala,4,Wayanad,1359679,529074,560841,0,1089915,57,2844,1092759,80.36889589,78.403751,81.89002016,0
Kerala,5,Kozhikode,1318024,513589,557937,7,1071533,2693,5349,1076882,81.70427853,80.03643481,82.4966177,46.66666667
Kerala,6,Malappuram,1370544,496309,536688,0,1032997,63,1802,1034799,75.50279305,71.8148735,78.98905873,0
Kerala,7,Ponnani,1356803,466412,549928,1,1016341,104,1025,1017366,74.98258774,69.290239,80.4377557,16.66666667
Kerala,8,Palakkad,1323010,494469,531513,1,1025983,12,2891,1028874,77.76766616,76.39807981,78.65201294,20
Kerala,9,Alathur ,1266794,493240,522650,2,1015892,22,3484,1019376,80.46896338,79.44656074,80.91246159,50
Kerala,10,Thrissur,1337110,488619,551694,5,1040318,45,1804,1042122,77.93838951,75.92167599,79.5509798,29.41176471
Kerala,11,Chalakudy,1230197,482031,506846,6,988883,0,1550,990433,80.51011342,80.35658023,80.41039212,75
Kerala,12,Ernakulam,1245972,480105,485690,6,965801,0,1589,967390,77.64139162,78.99465093,76.10429496,46.15384615
